deviceName,department,location,last_ppm_done_date,description,manufacturer,manufacturingDate,model,serial,status,warrantyPeriod,warrantyEndDate,agent,countryOfOrigin,purchasingDate,installationDate,purchasingPrice,purchasingMethod,serviceContract,serviceContractCompany,serviceContractValue,service_period_in_years,patient_assigned,REP_maintainancehistory
EKG-001,Cardiology,F32,,Portable EKG Machine,ABC Medical Devices,3/15/2022,EKG-1234-5678,ABC1234,FF,3 years,3/4/2025,John Smith,USA,6/30/2022,7/5/2022,5000,Online purchase,With S.P,XYZ Service Company,1200,1/1/2021,,Regular maintenance every 6 months
EKG-002,Cardiology,F16,,12-Lead EKG Machine,XYZ Healthcare Solutions,9/10/2021,EKG-9876-5432,XYZ9876,PF,2 years,9/9/2024,Jane Doe,Canada,12/20/2021,12/25/2021,7000,Direct purchase,Without S.P,N/A,0,15/03/2021,,10/07/2023| 22:02:49| martin sagdae| Problem description: Couldn't figure it out... need specialists!| Action taken: called company
EKG-003,General_Medicine,F25,,Wireless EKG Device,DEF Technologies,1/5/2023,EKG-2468-1357,DEF2468,NF,1 year,1/4/2024,Michael Johnson,Germany,3/10/2023,3/15/2023,3500,Supplier contract,With S.P,Supplier Services Inc.,800,28/05/2021,,Regular maintenance every 3 months
EKG-004,Cardiology,SU35,,Portable EKG Machine,ABC Medical Devices,8/25/2022,EKG-1111-2222,ABC5678,FF,3 years,8/2/2025,John Smith,USA,11/30/2022,12/5/2022,5500,Online purchase,Without S.P,N/A,0,28/05/2021,,No maintenance history
EKG-005,Radiology,007,,12-Lead EKG Machine,XYZ Healthcare Solutions,12/10/2021,EKG-3333-4444,XYZ5432,PF,2 years,12/9/2024,Jane Doe,Canada,12/1/2021,12/6/2021,8000,Direct purchase,Without S.P,N/A,0,10/8/2021,,fefee
EKG-006,General_Medicine,A47,,Wireless EKG Device,DEF Technologies,3/18/2023,EKG-5555-6666,DEF7531,NF,1 year,3/1/2024,Michael Johnson,Germany,4/5/2023,4/10/2023,4000,Supplier contract,Without S.P,N/A,0,6/1/2023,,No maintenance history
EKG-007,Cardiology,E56,,Portable EKG Machine,ABC Medical Devices,5/7/2022,EKG-7777-8888,ABC9876,FF,3 years,5/6/2025,John Smith,USA,8/15/2022,8/20/2022,4500,Online purchase,Without S.P,N/A,0,20/12/2023,,No maintenance history
EKG-008,Radiology,S14,,12-Lead EKG Machine,XYZ Healthcare Solutions,11/28/2021,EKG-9999-0000,XYZ2468,PF,2 years,11/7/2024,Jane Doe,Canada,12/5/2021,12/10/2021,6500,Direct purchase,With S.P,XYZ Service Company,8,13/08/2023,,Regular maintenance every 6 months
EKG-009,General_Medicine,,,Wireless EKG Device,DEF Technologies,2/12/2023,EKG-1357-2468,DEF9876,NF,1 year,2/11/2024,Michael Johnson,Germany,2/25/2023,3/2/2023,3000,Supplier contract,Without S.P,N/A,0,18/03/2022,,No maintenance history
EKG-010,Cardiology,,,Portable EKG Machine,ABC Medical Devices,10/5/2022,EKG-5678-1234,ABC5678,FF,3 years,6/12/2023,John Smith,USA,12/10/2022,12/15/2022,6000,Online purchase,With S.P,XYZ Service Company,1200,6/12/2023,,Regular maintenance every 6 months
EKG-011,Orthopedics,,,12-Lead EKG Machine,XYZ Healthcare Solutions,8/20/2021,EKG-4321-8765,XYZ4321,PF,2 years,8/1/2023,Jane Doe,Canada,12/15/2021,12/20/2021,7500,Direct purchase,With S.P,XYZ Service Company,1000,20/03/2023,,Regular maintenance every 6 months
EKG-012,Radiology,,,Wireless EKG Device,DEF Technologies,4/25/2023,EKG-6789-5432,DEF6789,NF,1 year,4/7/2022,Michael Johnson,Germany,6/1/2023,6/6/2023,4000,Supplier contract,With S.P,Shbza,555,30/06/2023,,Regular maintenance every 3 months
