deviceName,department,location,last_ppm_done_date,description,manufacturer,manufacturingDate,model,serial,status,warrantyPeriod,warrantyEndDate,agent,countryOfOrigin,purchasingDate,installationDate,purchasingPrice,purchasingMethod,serviceContract,serviceContractCompany,serviceContractValue,service_period_in_years,Patient_assigned_to_bed,devices_attached_to,REP_maintainancehistory
Bed 001,Intensive Care Unit,G17,10/07/2023,Electric hospital bed,ABC Medical Supplies,2/10/2022,Model-XYZ,12345,FF,2 years,2/10/2024,John Doe,USA,15/09/2022,20/09/2022,4500,Online,With S.P,ServiceCare Inc.,250,15/01/2020,,,Regular maintenance performed quarterly
Bed 002,General Ward,G18,11/07/2023,Manual hospital bed,XYZ Healthcare Solutions,12/5/2021,Model-ABC,98765,FF,1 year,12/5/2022,Jane Smith,Germany,20/04/2021,25/04/2021,3500,Offline,Without S.P,Not Applicable,0,28/03/2023,,,No maintenance history available<br>10/07/2023| 00:37:59| salah| Problem description: No Power| Action taken: a7a ba2a ana t3bt
Bed 003,Maternity Ward,G29,11/07/2023,Adjustable maternity bed,XYZ Medical Supplies,15/08/2022,Model-MAT,54321,PF,3 years,15/08/2025,Amy Johnson,Canada,1/7/2022,5/7/2022,5200,Online,With S.P,Healthcare Solutions Inc.,350,10/6/2023,,,Regular maintenance performed monthly
Bed 004,Surgical Unit,01,11/07/2023,Recovery bed,DEF Hospital Equipment,10/3/2021,Model-REC,24680,FF,2 years,10/3/2023,Robert Davis,USA,15/02/2021,20/02/2021,4000,Offline,With S.P,MedCare Services Ltd.,300,22/09/2023,,,Regular maintenance performed quarterly
Bed 005,ICU,07,11/07/2023,Advanced ICU bed,GHI Medical Technologies,25/11/2022,Model-ICU,13579,FF,2 years,25/11/2024,Sarah Wilson,UK,1/10/2022,5/10/2022,4800,Online,Without S.P,Not Applicable,0,5/12/2023,,,No maintenance history available
Bed 006,General Ward,216,11/07/2023,Standard hospital bed,ABC Medical Supplies,5/6/2021,Model-STD,97531,NF,1 year,5/6/2022,Michael Brown,USA,1/5/2021,5/5/2021,3200,Online,With S.P,MediCare Inc.,200,18/02/2021,,,Regular maintenance performed biannually
Bed 007,Cardiology Department,052,12/07/2023,Cardiac bed,XYZ Healthcare Solutions,18/02/2023,Model-CRD,86420,FF,2 years,18/02/2025,Emily Anderson,Germany,15/01/2023,20/01/2023,5500,Offline,Without S.P,Not Applicable,0,3/5/2021,,,No maintenance history available
Bed 008,Orthopedic Ward,053,,Orthopedic bed,DEF Medical Supplies,30/09/2021,Model-ORT,15926,PF,3 years,30/09/2024,David Thompson,USA,15/08/2021,20/08/2021,4200,Online,With S.P,Health Services Inc.,250,18/10/2023,,,Regular maintenance performed quarterly
Bed 009,Neurology Department,114,,Neurological bed,GHI Medical Technologies,8/4/2022,Model-NEU,73820,FF,2 years,8/4/2024,Linda Wilson,UK,1/3/2022,5/3/2022,4900,Online,N,zbyyyyyyyyyyyyyyy,9999999999999999999999,55555555555555555555,,,Regular maintenance performed quarterly
Bed 010,Pediatric Ward,F16,,Pediatric bed,ABC Healthcare Solutions,22/07/2023,Model-PED,42681,FF,1 year,22/07/2024,Thomas Johnson,USA,1/6/2023,5/6/2023,3800,Offline,N,zbyyyyyyyyyyyyyyy,9999999999999999999999,55555555555555555555,111,_123456_FoHSerial_OUT-9390A-R,No maintenance history available
Bed 011,C4,G99,,Frisky,Toys,20/07/2023,Model F,FRSK-5000,FF,,14/07/2023,Vincent,Talian,05/07/2023,05/07/2023,230,Cash,N,Contractor,100,25/07/2023,500,_ABC1234,
